,date,ratePerDay
0,1-01-20,0.09
1,2-01-20,0.08833333333333333
2,3-01-20,0.08666666666666667
3,4-01-20,0.08499999999999999
4,5-01-20,0.08333333333333333
5,6-01-20,0.08166666666666667
6,7-01-20,0.08
7,8-01-20,0.07833333333333334
8,9-01-20,0.07666666666666666
9,10-01-20,0.075
10,11-01-20,0.07333333333333333
11,12-01-20,0.07166666666666666
12,13-01-20,0.07
13,14-01-20,0.06833333333333333
14,15-01-20,0.06666666666666667
15,16-01-20,0.065
16,17-01-20,0.06333333333333332
17,18-01-20,0.06166666666666666
18,19-01-20,0.06
19,20-01-20,0.058333333333333334
20,21-01-20,0.056666666666666664
21,22-01-20,0.055
22,23-01-20,0.05333333333333333
23,24-01-20,0.051666666666666666
24,25-01-20,0.05
25,26-01-20,0.04833333333333333
26,27-01-20,0.04666666666666667
27,28-01-20,0.045
28,29-01-20,0.043333333333333335
29,30-01-20,0.041666666666666664
30,31-01-20,0.04
31,1-02-20,0.04
32,2-02-20,0.039285714285714285
33,3-02-20,0.03857142857142857
34,4-02-20,0.03785714285714286
35,5-02-20,0.037142857142857144
36,6-02-20,0.03642857142857143
37,7-02-20,0.03571428571428571
38,8-02-20,0.035
39,9-02-20,0.03428571428571429
40,10-02-20,0.03357142857142857
41,11-02-20,0.032857142857142856
42,12-02-20,0.03214285714285714
43,13-02-20,0.03142857142857143
44,14-02-20,0.030714285714285715
45,15-02-20,0.03
46,16-02-20,0.029285714285714286
47,17-02-20,0.028571428571428574
48,18-02-20,0.027857142857142858
49,19-02-20,0.027142857142857142
50,20-02-20,0.02642857142857143
51,21-02-20,0.025714285714285717
52,22-02-20,0.025
53,23-02-20,0.024285714285714285
54,24-02-20,0.023571428571428573
55,25-02-20,0.022857142857142857
56,26-02-20,0.022142857142857145
57,27-02-20,0.02142857142857143
58,28-02-20,0.020714285714285716
59,29-02-20,0.02
60,1-03-20,0.02
61,2-03-20,0.028333333333333335
62,3-03-20,0.03666666666666667
63,4-03-20,0.045
64,5-03-20,0.05333333333333333
65,6-03-20,0.06166666666666666
66,7-03-20,0.07
67,8-03-20,0.07833333333333334
68,9-03-20,0.08666666666666667
69,10-03-20,0.095
70,11-03-20,0.10333333333333333
71,12-03-20,0.11166666666666666
72,13-03-20,0.12000000000000001
73,14-03-20,0.12833333333333333
74,15-03-20,0.13666666666666666
75,16-03-20,0.145
76,17-03-20,0.15333333333333332
77,18-03-20,0.16166666666666665
78,19-03-20,0.16999999999999998
79,20-03-20,0.17833333333333332
80,21-03-20,0.18666666666666665
81,22-03-20,0.19499999999999998
82,23-03-20,0.2033333333333333
83,24-03-20,0.21166666666666664
84,25-03-20,0.22
85,26-03-20,0.22833333333333333
86,27-03-20,0.23666666666666666
87,28-03-20,0.245
88,29-03-20,0.25333333333333335
89,30-03-20,0.26166666666666666
90,31-03-20,0.27
91,1-04-20,0.27
92,2-04-20,0.28620689655172415
93,3-04-20,0.3024137931034483
94,4-04-20,0.31862068965517243
95,5-04-20,0.33482758620689657
96,6-04-20,0.3510344827586207
97,7-04-20,0.36724137931034484
98,8-04-20,0.383448275862069
99,9-04-20,0.3996551724137931
100,10-04-20,0.41586206896551725
101,11-04-20,0.4320689655172414
102,12-04-20,0.4482758620689655
103,13-04-20,0.46448275862068966
104,14-04-20,0.4806896551724138
105,15-04-20,0.49689655172413794
106,16-04-20,0.5131034482758621
107,17-04-20,0.5293103448275862
108,18-04-20,0.5455172413793103
109,19-04-20,0.5617241379310345
110,20-04-20,0.5779310344827586
111,21-04-20,0.5941379310344828
112,22-04-20,0.6103448275862069
113,23-04-20,0.626551724137931
114,24-04-20,0.6427586206896552
115,25-04-20,0.6589655172413793
116,26-04-20,0.6751724137931034
117,27-04-20,0.6913793103448276
118,28-04-20,0.7075862068965517
119,29-04-20,0.7237931034482759
120,30-04-20,0.74
121,1-05-20,0.74
122,2-05-20,0.7293333333333333
123,3-05-20,0.7186666666666667
124,4-05-20,0.708
125,5-05-20,0.6973333333333334
126,6-05-20,0.6866666666666666
127,7-05-20,0.6759999999999999
128,8-05-20,0.6653333333333333
129,9-05-20,0.6546666666666666
130,10-05-20,0.644
131,11-05-20,0.6333333333333333
132,12-05-20,0.6226666666666667
133,13-05-20,0.612
134,14-05-20,0.6013333333333333
135,15-05-20,0.5906666666666667
136,16-05-20,0.58
137,17-05-20,0.5693333333333334
138,18-05-20,0.5586666666666666
139,19-05-20,0.548
140,20-05-20,0.5373333333333333
141,21-05-20,0.5266666666666666
142,22-05-20,0.516
143,23-05-20,0.5053333333333333
144,24-05-20,0.4946666666666667
145,25-05-20,0.484
146,26-05-20,0.47333333333333333
147,27-05-20,0.46266666666666667
148,28-05-20,0.452
149,29-05-20,0.44133333333333336
150,30-05-20,0.43066666666666664
151,31-05-20,0.42
152,1-06-20,0.42
153,2-06-20,0.4086206896551724
154,3-06-20,0.3972413793103448
155,4-06-20,0.3858620689655172
156,5-06-20,0.37448275862068964
157,6-06-20,0.36310344827586205
158,7-06-20,0.35172413793103446
159,8-06-20,0.3403448275862069
160,9-06-20,0.3289655172413793
161,10-06-20,0.3175862068965517
162,11-06-20,0.3062068965517241
163,12-06-20,0.29482758620689653
164,13-06-20,0.283448275862069
165,14-06-20,0.27206896551724136
166,15-06-20,0.2606896551724138
167,16-06-20,0.2493103448275862
168,17-06-20,0.23793103448275862
169,18-06-20,0.22655172413793104
170,19-06-20,0.21517241379310345
171,20-06-20,0.20379310344827586
172,21-06-20,0.19241379310344828
173,22-06-20,0.1810344827586207
174,23-06-20,0.16965517241379313
175,24-06-20,0.15827586206896554
176,25-06-20,0.14689655172413796
177,26-06-20,0.13551724137931037
178,27-06-20,0.12413793103448278
179,28-06-20,0.1127586206896552
180,29-06-20,0.10137931034482761
181,30-06-20,0.09
182,1-07-20,0.09
183,2-07-20,0.08366666666666667
184,3-07-20,0.07733333333333334
185,4-07-20,0.071
186,5-07-20,0.06466666666666666
187,6-07-20,0.058333333333333334
188,7-07-20,0.052
189,8-07-20,0.04566666666666666
190,9-07-20,0.03933333333333333
191,10-07-20,0.033
192,11-07-20,0.026666666666666672
193,12-07-20,0.020333333333333328
194,13-07-20,0.013999999999999999
195,14-07-20,0.007666666666666669
196,15-07-20,0.0013333333333333253
197,16-07-20,-0.0050000000000000044
198,17-07-20,-0.011333333333333334
199,18-07-20,-0.017666666666666664
200,19-07-20,-0.023999999999999994
201,20-07-20,-0.030333333333333337
202,21-07-20,-0.03666666666666665
203,22-07-20,-0.04300000000000001
204,23-07-20,-0.04933333333333334
205,24-07-20,-0.05566666666666667
206,25-07-20,-0.062
207,26-07-20,-0.06833333333333333
208,27-07-20,-0.07466666666666666
209,28-07-20,-0.08099999999999999
210,29-07-20,-0.08733333333333335
211,30-07-20,-0.09366666666666668
212,31-07-20,-0.1
213,1-08-20,-0.1
214,2-08-20,-0.09933333333333334
215,3-08-20,-0.09866666666666667
216,4-08-20,-0.098
217,5-08-20,-0.09733333333333334
218,6-08-20,-0.09666666666666668
219,7-08-20,-0.096
220,8-08-20,-0.09533333333333334
221,9-08-20,-0.09466666666666668
222,10-08-20,-0.094
223,11-08-20,-0.09333333333333334
224,12-08-20,-0.09266666666666667
225,13-08-20,-0.092
226,14-08-20,-0.09133333333333334
227,15-08-20,-0.09066666666666667
228,16-08-20,-0.09
229,17-08-20,-0.08933333333333333
230,18-08-20,-0.08866666666666667
231,19-08-20,-0.08800000000000001
232,20-08-20,-0.08733333333333333
233,21-08-20,-0.08666666666666667
234,22-08-20,-0.08600000000000001
235,23-08-20,-0.08533333333333334
236,24-08-20,-0.08466666666666667
237,25-08-20,-0.084
238,26-08-20,-0.08333333333333334
239,27-08-20,-0.08266666666666667
240,28-08-20,-0.082
241,29-08-20,-0.08133333333333334
242,30-08-20,-0.08066666666666666
243,31-08-20,-0.08
